 WARN [2017-08-04 18:13:02,176] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-04 18:13:02,185] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-04 18:13:02,186] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-05 20:50:03,935] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-07 11:21:45,003] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-07 14:55:37,868] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-07 14:55:37,871] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-07 14:55:37,875] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-16 15:12:41,079] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-16 18:13:19,815] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-16 18:13:19,815] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-16 18:13:19,815] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-17 08:54:31,292] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-17 18:32:25,318] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-17 18:32:25,334] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-17 18:32:25,334] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-18 09:00:05,322] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-18 18:29:04,024] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-18 18:29:04,047] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-18 18:29:04,048] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-24 09:02:55,628] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-24 18:10:54,809] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-24 18:10:54,811] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-24 18:10:54,812] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-25 08:49:30,042] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-25 16:37:36,059] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-25 16:37:36,073] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-25 16:37:36,077] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-27 16:39:24,947] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-27 21:08:41,285] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-27 21:08:41,287] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-27 21:08:41,289] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-08-30 20:46:52,216] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-08-30 22:51:49,888] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-08-30 22:51:49,919] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-08-30 22:51:49,919] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-09-02 11:19:24,143] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-09-02 23:04:22,431] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-09-02 23:04:22,436] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-09-02 23:04:22,494] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
 WARN [2017-09-03 11:05:03,326] (ProxyManager.java:init:49) - No proxy bundle found - default proxy service will be initialized
 WARN [2017-09-03 17:45:18,018] (ConnectionFactory.java:clearCache:209) - No cached connections
 WARN [2017-09-03 17:45:18,020] (DescribeObjectRegistry.java:clearCache:654) - No cached describes
 WARN [2017-09-03 17:45:18,020] (MetadataFactory.java:clearCache:131) - No cached metadata stubs
